Date,Time,RSNR(dB),Dst(ft),RxBt(V),GPS,GSpd(kmh),Hdg(@),Alt(m),Sats,Rud,Ele,Thr,Ail,S1,S2,SA,SB,SC,SD,SE,SF,LSW,TxBat(V)
2021-10-12,20:59:42.730,0,0,0.0,,0.0,0.00,0,0,8,0,-1015,-2,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:44.230,0,0,0.0,,0.0,0.00,0,0,9,0,-1017,-3,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:45.730,0,0,0.0,,0.0,0.00,0,0,9,0,-1016,0,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:47.230,0,0,0.0,,0.0,0.00,0,0,8,0,-1018,-1,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:48.730,0,0,0.0,,0.0,0.00,0,0,7,0,-1017,-1,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:50.230,0,0,0.0,,0.0,0.00,0,0,8,0,-1017,-1,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:51.740,0,0,0.0,,0.0,0.00,0,0,7,0,-1017,-1,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:53.240,0,0,0.0,,0.0,0.00,0,0,7,0,-1016,-1,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:54.740,0,0,0.0,,0.0,0.00,0,0,7,0,-1018,0,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:56.240,0,0,0.0,,0.0,0.00,0,0,9,0,-1017,-2,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:57.740,0,0,0.0,,0.0,0.00,0,0,6,0,-1017,-1,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:59:59.240,0,0,0.0,,0.0,0.00,0,0,8,0,-1017,-1,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,21:00:00.740,0,0,0.0,,0.0,0.00,0,0,9,0,-1018,0,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,21:00:02.240,0,0,0.0,,0.0,0.00,0,0,8,0,-1018,0,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,21:00:03.750,0,0,0.0,,0.0,0.00,0,0,6,0,-1017,0,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,21:00:05.250,0,0,0.0,,0.0,0.00,0,0,8,0,-1017,0,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,21:00:06.750,0,0,0.0,,0.0,0.00,0,0,8,0,-1017,0,-1024,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
